Number of removed features,Validity score,Interpreter,Model
1,0.7778,LORE,MLP
2,0.75,LORE,MLP
3,0.75,LORE,MLP
4,0.75,LORE,MLP
5,0.75,LORE,MLP
6,0.75,LORE,MLP
7,0.75,LORE,MLP
8,0.75,LORE,MLP
9,0.75,LORE,MLP
10,0.75,LORE,MLP
11,0.75,LORE,MLP
12,0.75,LORE,MLP
13,0.75,LORE,MLP
14,0.75,LORE,MLP
15,0.75,LORE,MLP
16,0.75,LORE,MLP
17,0.75,LORE,MLP
18,0.75,LORE,MLP
19,0.75,LORE,MLP
20,0.75,LORE,MLP
21,0.75,LORE,MLP
22,0.75,LORE,MLP
23,0.75,LORE,MLP
24,0.75,LORE,MLP
25,0.75,LORE,MLP
26,0.75,LORE,MLP
27,0.75,LORE,MLP
28,0.75,LORE,MLP
29,0.75,LORE,MLP
30,0.75,LORE,MLP
31,0.75,LORE,MLP
32,0.75,LORE,MLP
33,0.75,LORE,MLP
34,0.75,LORE,MLP
