Number of reserved features,Faithfulness score,Interpreter,Model
13,0.9671,SHAP,SVC
14,0.9836,SHAP,SVC
15,0.9868,SHAP,SVC
16,0.9901,SHAP,SVC
17,0.9901,SHAP,SVC
18,0.9868,SHAP,SVC
19,0.9901,SHAP,SVC
20,0.9836,SHAP,SVC
21,0.9836,SHAP,SVC
22,0.9803,SHAP,SVC
23,0.9836,SHAP,SVC
24,0.9803,SHAP,SVC
25,0.977,SHAP,SVC
26,0.9737,SHAP,SVC
27,0.977,SHAP,SVC
28,0.977,SHAP,SVC
29,0.9737,SHAP,SVC
30,0.977,SHAP,SVC
31,0.9836,SHAP,SVC
32,0.9868,SHAP,SVC
33,0.9868,SHAP,SVC
34,0.9803,SHAP,SVC
35,0.9836,SHAP,SVC
36,0.9836,SHAP,SVC
37,0.9836,SHAP,SVC
38,0.9868,SHAP,SVC
39,0.9868,SHAP,SVC
40,0.9934,SHAP,SVC
41,0.9967,SHAP,SVC
42,0.9967,SHAP,SVC
43,0.9934,SHAP,SVC
44,1,SHAP,SVC
45,0.9967,SHAP,SVC
46,1,SHAP,SVC
47,1,SHAP,SVC
48,1,SHAP,SVC
1,0.9803,LIME,SVC
2,0.5822,LIME,SVC
3,0.5822,LIME,SVC
4,0.5822,LIME,SVC
5,0.5822,LIME,SVC
6,0.5822,LIME,SVC
7,0.5822,LIME,SVC
8,0.5822,LIME,SVC
9,0.5822,LIME,SVC
10,0.5822,LIME,SVC
11,0.9868,LIME,SVC
12,0.8684,LIME,SVC
13,0.8618,LIME,SVC
14,0.8684,LIME,SVC
15,0.8487,LIME,SVC
16,0.9737,LIME,SVC
17,0.9539,LIME,SVC
18,0.9868,LIME,SVC
19,0.9868,LIME,SVC
20,0.9868,LIME,SVC
21,0.9868,LIME,SVC
22,0.9901,LIME,SVC
23,0.9901,LIME,SVC
24,0.9901,LIME,SVC
25,0.9868,LIME,SVC
26,0.9901,LIME,SVC
27,0.9901,LIME,SVC
28,0.9901,LIME,SVC
29,0.9901,LIME,SVC
30,0.9934,LIME,SVC
31,0.9901,LIME,SVC
32,0.9901,LIME,SVC
33,0.9868,LIME,SVC
34,0.9901,LIME,SVC
35,0.9967,LIME,SVC
36,1,LIME,SVC
37,0.9967,LIME,SVC
38,1,LIME,SVC
39,1,LIME,SVC
40,1,LIME,SVC
41,1,LIME,SVC
42,1,LIME,SVC
43,0.9967,LIME,SVC
44,0.9967,LIME,SVC
45,1,LIME,SVC
46,1,LIME,SVC
47,1,LIME,SVC
48,1,LIME,SVC
1,0.4178,Anchor,SVC
2,0.5822,Anchor,SVC
3,0.4178,Anchor,SVC
4,0.4178,Anchor,SVC
5,0.4178,Anchor,SVC
6,0.4178,Anchor,SVC
7,0.4178,Anchor,SVC
8,0.4178,Anchor,SVC
9,0.4178,Anchor,SVC
10,0.4178,Anchor,SVC
11,0.4178,Anchor,SVC
12,0.4178,Anchor,SVC
13,0.4178,Anchor,SVC
14,0.4178,Anchor,SVC
15,0.4178,Anchor,SVC
16,0.4178,Anchor,SVC
17,0.4178,Anchor,SVC
18,0.4178,Anchor,SVC
19,0.4178,Anchor,SVC
20,0.4178,Anchor,SVC
21,0.4178,Anchor,SVC
22,0.4178,Anchor,SVC
23,0.4178,Anchor,SVC
24,0.4178,Anchor,SVC
25,0.4178,Anchor,SVC
26,0.4178,Anchor,SVC
27,0.4178,Anchor,SVC
28,0.4178,Anchor,SVC
29,0.4178,Anchor,SVC
30,0.4178,Anchor,SVC
31,0.4178,Anchor,SVC
32,0.4178,Anchor,SVC
33,0.4178,Anchor,SVC
34,0.4178,Anchor,SVC
35,0.4178,Anchor,SVC
36,0.4178,Anchor,SVC
37,0.4178,Anchor,SVC
38,0.4178,Anchor,SVC
39,0.4178,Anchor,SVC
40,0.4178,Anchor,SVC
41,0.4178,Anchor,SVC
42,0.4178,Anchor,SVC
43,0.4178,Anchor,SVC
44,0.4178,Anchor,SVC
45,0.4178,Anchor,SVC
46,0.4178,Anchor,SVC
47,0.4178,Anchor,SVC
48,0.4178,Anchor,SVC
1,0.5822,LORE,SVC
2,0.5822,LORE,SVC
3,0.5822,LORE,SVC
4,0.5822,LORE,SVC
5,0.5822,LORE,SVC
6,0.5822,LORE,SVC
7,0.5822,LORE,SVC
8,0.5822,LORE,SVC
9,0.5822,LORE,SVC
10,0.5822,LORE,SVC
11,0.5822,LORE,SVC
12,0.5822,LORE,SVC
13,0.5822,LORE,SVC
14,0.5822,LORE,SVC
15,0.5822,LORE,SVC
16,0.5822,LORE,SVC
17,0.5822,LORE,SVC
18,0.5822,LORE,SVC
19,0.5822,LORE,SVC
20,0.5822,LORE,SVC
21,0.5822,LORE,SVC
22,0.5822,LORE,SVC
23,0.5822,LORE,SVC
24,0.5822,LORE,SVC
25,0.5822,LORE,SVC
26,0.5822,LORE,SVC
27,0.5822,LORE,SVC
28,0.5822,LORE,SVC
29,0.5822,LORE,SVC
30,0.5822,LORE,SVC
31,0.5822,LORE,SVC
32,0.5822,LORE,SVC
33,0.5822,LORE,SVC
34,0.5822,LORE,SVC
35,0.5822,LORE,SVC
36,0.5822,LORE,SVC
37,0.5822,LORE,SVC
38,0.5822,LORE,SVC
39,0.5822,LORE,SVC
40,0.5822,LORE,SVC
41,0.5822,LORE,SVC
42,0.5822,LORE,SVC
43,0.5822,LORE,SVC
44,0.5822,LORE,SVC
45,0.5822,LORE,SVC
46,0.5822,LORE,SVC
47,0.5822,LORE,SVC
48,0.5822,LORE,SVC
1,0.9572,SHAP,MLP
2,0.9441,SHAP,MLP
3,0.9704,SHAP,MLP
4,0.9605,SHAP,MLP
5,0.9441,SHAP,MLP
6,0.9309,SHAP,MLP
7,0.9671,SHAP,MLP
8,0.9539,SHAP,MLP
9,0.9375,SHAP,MLP
10,0.9408,SHAP,MLP
11,0.9408,SHAP,MLP
12,0.9243,SHAP,MLP
13,0.9441,SHAP,MLP
14,0.9309,SHAP,MLP
15,0.9507,SHAP,MLP
16,0.9605,SHAP,MLP
17,0.9539,SHAP,MLP
18,0.9605,SHAP,MLP
19,0.9671,SHAP,MLP
20,0.977,SHAP,MLP
21,0.9704,SHAP,MLP
22,0.9704,SHAP,MLP
23,0.9671,SHAP,MLP
24,0.9737,SHAP,MLP
25,0.9638,SHAP,MLP
26,0.9704,SHAP,MLP
27,0.9638,SHAP,MLP
28,0.9671,SHAP,MLP
29,0.9671,SHAP,MLP
30,0.9671,SHAP,MLP
31,0.9671,SHAP,MLP
32,0.9737,SHAP,MLP
33,0.9704,SHAP,MLP
34,0.977,SHAP,MLP
35,0.977,SHAP,MLP
36,0.977,SHAP,MLP
37,0.9803,SHAP,MLP
38,0.9967,SHAP,MLP
39,0.9934,SHAP,MLP
40,0.9934,SHAP,MLP
41,0.9934,SHAP,MLP
42,0.9934,SHAP,MLP
43,0.9967,SHAP,MLP
44,0.9901,SHAP,MLP
45,0.9901,SHAP,MLP
46,0.9901,SHAP,MLP
47,0.9934,SHAP,MLP
48,1,SHAP,MLP
1,0.9046,LIME,MLP
2,0.9441,LIME,MLP
3,0.9605,LIME,MLP
4,0.8257,LIME,MLP
5,0.8717,LIME,MLP
6,0.9671,LIME,MLP
7,0.9507,LIME,MLP
8,0.9605,LIME,MLP
9,0.9539,LIME,MLP
10,0.9507,LIME,MLP
11,0.9507,LIME,MLP
12,0.9638,LIME,MLP
13,0.9605,LIME,MLP
14,0.9605,LIME,MLP
15,0.9507,LIME,MLP
16,0.9539,LIME,MLP
17,0.9671,LIME,MLP
18,0.9737,LIME,MLP
19,0.9671,LIME,MLP
20,0.9572,LIME,MLP
21,0.977,LIME,MLP
22,0.9704,LIME,MLP
23,0.9671,LIME,MLP
24,0.9638,LIME,MLP
25,0.9671,LIME,MLP
26,0.9671,LIME,MLP
27,0.977,LIME,MLP
28,0.9671,LIME,MLP
29,0.9605,LIME,MLP
30,0.9737,LIME,MLP
31,0.9572,LIME,MLP
32,0.9671,LIME,MLP
33,0.9605,LIME,MLP
34,0.9737,LIME,MLP
35,0.9836,LIME,MLP
36,0.9836,LIME,MLP
37,0.9901,LIME,MLP
38,0.9934,LIME,MLP
39,0.9836,LIME,MLP
40,0.9737,LIME,MLP
41,0.9605,LIME,MLP
42,0.9638,LIME,MLP
43,0.9671,LIME,MLP
44,0.9704,LIME,MLP
45,0.9803,LIME,MLP
46,0.9868,LIME,MLP
47,0.9967,LIME,MLP
48,1,LIME,MLP
1,0.8849,Anchor,MLP
2,0.9243,Anchor,MLP
3,0.9572,Anchor,MLP
4,0.9605,Anchor,MLP
5,0.9605,Anchor,MLP
6,0.9605,Anchor,MLP
7,0.9605,Anchor,MLP
8,0.9605,Anchor,MLP
9,0.9605,Anchor,MLP
10,0.9605,Anchor,MLP
11,0.9605,Anchor,MLP
12,0.9605,Anchor,MLP
13,0.9605,Anchor,MLP
14,0.9605,Anchor,MLP
15,0.9605,Anchor,MLP
16,0.9605,Anchor,MLP
17,0.9605,Anchor,MLP
18,0.9605,Anchor,MLP
19,0.9605,Anchor,MLP
20,0.9605,Anchor,MLP
21,0.9605,Anchor,MLP
22,0.9605,Anchor,MLP
23,0.9605,Anchor,MLP
24,0.9605,Anchor,MLP
25,0.9605,Anchor,MLP
26,0.9605,Anchor,MLP
27,0.9605,Anchor,MLP
28,0.9605,Anchor,MLP
29,0.9605,Anchor,MLP
30,0.9605,Anchor,MLP
31,0.9605,Anchor,MLP
32,0.9605,Anchor,MLP
33,0.9605,Anchor,MLP
34,0.9605,Anchor,MLP
35,0.9605,Anchor,MLP
36,0.9605,Anchor,MLP
37,0.9605,Anchor,MLP
38,0.9605,Anchor,MLP
39,0.9605,Anchor,MLP
40,0.9605,Anchor,MLP
41,0.9605,Anchor,MLP
42,0.9605,Anchor,MLP
43,0.9605,Anchor,MLP
44,0.9605,Anchor,MLP
45,0.9605,Anchor,MLP
46,0.9605,Anchor,MLP
47,0.9605,Anchor,MLP
48,0.9605,Anchor,MLP
1,0.9572,LORE,MLP
2,0.9638,LORE,MLP
3,0.9243,LORE,MLP
4,0.9211,LORE,MLP
5,0.9145,LORE,MLP
6,0.9408,LORE,MLP
7,0.9441,LORE,MLP
8,0.9375,LORE,MLP
9,0.9408,LORE,MLP
10,0.9243,LORE,MLP
11,0.9309,LORE,MLP
12,0.9211,LORE,MLP
13,0.9211,LORE,MLP
14,0.9211,LORE,MLP
15,0.9211,LORE,MLP
16,0.9243,LORE,MLP
17,0.9243,LORE,MLP
18,0.9243,LORE,MLP
19,0.9243,LORE,MLP
20,0.9243,LORE,MLP
21,0.9243,LORE,MLP
22,0.9243,LORE,MLP
23,0.9243,LORE,MLP
24,0.9243,LORE,MLP
25,0.9243,LORE,MLP
26,0.9243,LORE,MLP
27,0.9243,LORE,MLP
28,0.9243,LORE,MLP
29,0.9243,LORE,MLP
30,0.9243,LORE,MLP
31,0.9243,LORE,MLP
32,0.9243,LORE,MLP
33,0.9243,LORE,MLP
34,0.9243,LORE,MLP
35,0.9243,LORE,MLP
36,0.9243,LORE,MLP
37,0.9243,LORE,MLP
38,0.9243,LORE,MLP
39,0.9243,LORE,MLP
40,0.9243,LORE,MLP
41,0.9243,LORE,MLP
42,0.9243,LORE,MLP
43,0.9243,LORE,MLP
44,0.9243,LORE,MLP
45,0.9243,LORE,MLP
46,0.9243,LORE,MLP
47,0.9243,LORE,MLP
48,0.9243,LORE,MLP
