Number of removed features,Robustness score,Interpreter,Model
1,1,Anchor,SVC
2,1,Anchor,SVC
3,1,Anchor,SVC
4,1,Anchor,SVC
5,1,Anchor,SVC
6,1,Anchor,SVC
7,1,Anchor,SVC
8,1,Anchor,SVC
9,1,Anchor,SVC
10,1,Anchor,SVC
11,1,Anchor,SVC
12,1,Anchor,SVC
13,1,Anchor,SVC
14,1,Anchor,SVC
15,1,Anchor,SVC
16,1,Anchor,SVC
17,1,Anchor,SVC
18,1,Anchor,SVC
19,1,Anchor,SVC
20,1,Anchor,SVC
21,1,Anchor,SVC
22,1,Anchor,SVC
23,1,Anchor,SVC
24,1,Anchor,SVC
25,1,Anchor,SVC
26,1,Anchor,SVC
27,1,Anchor,SVC
28,1,Anchor,SVC
29,1,Anchor,SVC
30,1,Anchor,SVC
31,1,Anchor,SVC
32,1,Anchor,SVC
33,1,Anchor,SVC
34,1,Anchor,SVC
1,1,LORE,SVC
2,1,LORE,SVC
3,1,LORE,SVC
4,1,LORE,SVC
5,1,LORE,SVC
6,1,LORE,SVC
7,1,LORE,SVC
8,1,LORE,SVC
9,1,LORE,SVC
10,1,LORE,SVC
11,1,LORE,SVC
12,1,LORE,SVC
13,1,LORE,SVC
14,1,LORE,SVC
15,1,LORE,SVC
16,1,LORE,SVC
17,1,LORE,SVC
18,1,LORE,SVC
19,1,LORE,SVC
20,1,LORE,SVC
21,1,LORE,SVC
22,1,LORE,SVC
23,1,LORE,SVC
24,1,LORE,SVC
25,1,LORE,SVC
26,1,LORE,SVC
27,1,LORE,SVC
28,1,LORE,SVC
29,1,LORE,SVC
30,1,LORE,SVC
31,1,LORE,SVC
32,1,LORE,SVC
33,1,LORE,SVC
34,1,LORE,SVC
1,0.9057,SHAP,MLP
2,0.7736,SHAP,MLP
3,0.8019,SHAP,MLP
4,0.8679,SHAP,MLP
5,0.8585,SHAP,MLP
6,0.8302,SHAP,MLP
7,0.8396,SHAP,MLP
8,0.8585,SHAP,MLP
9,0.8208,SHAP,MLP
10,0.8962,SHAP,MLP
11,0.934,SHAP,MLP
12,0.8774,SHAP,MLP
13,0.9245,SHAP,MLP
14,0.9151,SHAP,MLP
15,0.934,SHAP,MLP
16,0.9811,SHAP,MLP
17,0.9906,SHAP,MLP
18,0.9528,SHAP,MLP
19,0.9811,SHAP,MLP
20,0.9717,SHAP,MLP
21,1,SHAP,MLP
22,1,SHAP,MLP
23,1,SHAP,MLP
24,1,SHAP,MLP
25,1,SHAP,MLP
26,1,SHAP,MLP
27,1,SHAP,MLP
28,1,SHAP,MLP
29,1,SHAP,MLP
30,1,SHAP,MLP
31,1,SHAP,MLP
32,1,SHAP,MLP
33,1,SHAP,MLP
34,1,SHAP,MLP
1,0.6981,LIME,MLP
2,0.5755,LIME,MLP
3,0.6698,LIME,MLP
4,0.6509,LIME,MLP
5,0.7547,LIME,MLP
6,0.7358,LIME,MLP
7,0.7736,LIME,MLP
8,0.8208,LIME,MLP
9,0.783,LIME,MLP
10,0.8019,LIME,MLP
11,0.8019,LIME,MLP
12,0.8113,LIME,MLP
13,0.8019,LIME,MLP
14,0.8396,LIME,MLP
15,0.8679,LIME,MLP
16,0.8774,LIME,MLP
17,0.8962,LIME,MLP
18,0.9057,LIME,MLP
19,0.934,LIME,MLP
20,0.9528,LIME,MLP
21,0.9717,LIME,MLP
22,0.9811,LIME,MLP
23,0.9906,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
26,1,LIME,MLP
27,1,LIME,MLP
28,1,LIME,MLP
29,1,LIME,MLP
30,1,LIME,MLP
31,1,LIME,MLP
32,1,LIME,MLP
33,1,LIME,MLP
34,1,LIME,MLP
1,0.8396,Anchor,MLP
2,0.7547,Anchor,MLP
3,0.6698,Anchor,MLP
4,0.566,Anchor,MLP
5,0.5566,Anchor,MLP
6,0.5566,Anchor,MLP
7,0.5566,Anchor,MLP
8,0.5566,Anchor,MLP
9,0.5566,Anchor,MLP
10,0.5566,Anchor,MLP
11,0.5566,Anchor,MLP
12,0.5566,Anchor,MLP
13,0.5566,Anchor,MLP
14,0.5566,Anchor,MLP
15,0.5566,Anchor,MLP
16,0.5566,Anchor,MLP
17,0.5566,Anchor,MLP
18,0.5566,Anchor,MLP
19,0.5566,Anchor,MLP
20,0.5566,Anchor,MLP
21,0.5566,Anchor,MLP
22,0.5566,Anchor,MLP
23,0.5566,Anchor,MLP
24,0.5566,Anchor,MLP
25,0.5566,Anchor,MLP
26,0.5566,Anchor,MLP
27,0.5566,Anchor,MLP
28,0.5566,Anchor,MLP
29,0.5566,Anchor,MLP
30,0.5566,Anchor,MLP
31,0.5566,Anchor,MLP
32,0.5566,Anchor,MLP
33,0.5566,Anchor,MLP
34,0.5566,Anchor,MLP
1,0.7358,LORE,MLP
2,0.6887,LORE,MLP
3,0.7075,LORE,MLP
4,0.7453,LORE,MLP
5,0.7358,LORE,MLP
6,0.717,LORE,MLP
7,0.7736,LORE,MLP
8,0.7642,LORE,MLP
9,0.7358,LORE,MLP
10,0.7358,LORE,MLP
11,0.7358,LORE,MLP
12,0.7358,LORE,MLP
13,0.7358,LORE,MLP
14,0.7358,LORE,MLP
15,0.7358,LORE,MLP
16,0.7358,LORE,MLP
17,0.7358,LORE,MLP
18,0.7358,LORE,MLP
19,0.7358,LORE,MLP
20,0.7358,LORE,MLP
21,0.7358,LORE,MLP
22,0.7358,LORE,MLP
23,0.7358,LORE,MLP
24,0.7358,LORE,MLP
25,0.7358,LORE,MLP
26,0.7358,LORE,MLP
27,0.7358,LORE,MLP
28,0.7358,LORE,MLP
29,0.7358,LORE,MLP
30,0.7358,LORE,MLP
31,0.7358,LORE,MLP
32,0.7358,LORE,MLP
33,0.7358,LORE,MLP
34,0.7358,LORE,MLP
