Number of removed features,Robustness score,Interpreter,Model
9,0.916,Anchor,RF
10,0.9313,Anchor,RF
11,0.9313,Anchor,RF
12,0.9237,Anchor,RF
13,0.9237,Anchor,RF
14,0.9237,Anchor,RF
15,0.9237,Anchor,RF
16,0.9237,Anchor,RF
17,0.916,Anchor,RF
18,0.9084,Anchor,RF
19,0.9084,Anchor,RF
20,0.9084,Anchor,RF
21,0.9084,Anchor,RF
22,0.9008,Anchor,RF
23,0.9008,Anchor,RF
24,0.9008,Anchor,RF
25,0.9008,Anchor,RF
26,0.9008,Anchor,RF
27,0.9008,Anchor,RF
28,0.9008,Anchor,RF
29,0.9008,Anchor,RF
30,0.9008,Anchor,RF
31,0.9008,Anchor,RF
32,0.9008,Anchor,RF
33,0.9008,Anchor,RF
34,0.9008,Anchor,RF
35,0.9008,Anchor,RF
36,0.9008,Anchor,RF
37,0.9008,Anchor,RF
38,0.9008,Anchor,RF
39,0.9008,Anchor,RF
40,0.9008,Anchor,RF
41,0.9008,Anchor,RF
42,0.9008,Anchor,RF
43,0.9008,Anchor,RF
44,0.9008,Anchor,RF
45,0.9008,Anchor,RF
46,0.9008,Anchor,RF
47,0.9008,Anchor,RF
48,0.9008,Anchor,RF
1,0.9542,LORE,RF
2,0.9237,LORE,RF
3,0.9084,LORE,RF
4,0.9084,LORE,RF
5,0.916,LORE,RF
6,0.916,LORE,RF
7,0.916,LORE,RF
8,0.9237,LORE,RF
9,0.9237,LORE,RF
10,0.9237,LORE,RF
11,0.9313,LORE,RF
12,0.9237,LORE,RF
13,0.9237,LORE,RF
14,0.9237,LORE,RF
15,0.9237,LORE,RF
16,0.9237,LORE,RF
17,0.9237,LORE,RF
18,0.9313,LORE,RF
19,0.9237,LORE,RF
20,0.9237,LORE,RF
21,0.9237,LORE,RF
22,0.9237,LORE,RF
23,0.9237,LORE,RF
24,0.9237,LORE,RF
25,0.9237,LORE,RF
26,0.9237,LORE,RF
27,0.9237,LORE,RF
28,0.9237,LORE,RF
29,0.9237,LORE,RF
30,0.9237,LORE,RF
31,0.9237,LORE,RF
32,0.9237,LORE,RF
33,0.9237,LORE,RF
34,0.9237,LORE,RF
35,0.9237,LORE,RF
36,0.9237,LORE,RF
37,0.9237,LORE,RF
38,0.9237,LORE,RF
39,0.9237,LORE,RF
40,0.9237,LORE,RF
41,0.9237,LORE,RF
42,0.9237,LORE,RF
43,0.9237,LORE,RF
44,0.9237,LORE,RF
45,0.9237,LORE,RF
46,0.9237,LORE,RF
47,0.9237,LORE,RF
48,0.9237,LORE,RF
1,0.9847,SHAP,SVC
2,0.9771,SHAP,SVC
3,0.8855,SHAP,SVC
4,0.8626,SHAP,SVC
5,0.8702,SHAP,SVC
6,0.8473,SHAP,SVC
7,0.8244,SHAP,SVC
8,0.8015,SHAP,SVC
9,0.7863,SHAP,SVC
10,0.8015,SHAP,SVC
11,0.8244,SHAP,SVC
12,0.855,SHAP,SVC
13,0.8473,SHAP,SVC
14,0.8397,SHAP,SVC
15,0.8626,SHAP,SVC
16,0.855,SHAP,SVC
17,0.8931,SHAP,SVC
18,0.9008,SHAP,SVC
19,0.9084,SHAP,SVC
20,0.9237,SHAP,SVC
21,0.9313,SHAP,SVC
22,0.9389,SHAP,SVC
23,0.9313,SHAP,SVC
24,0.9466,SHAP,SVC
25,0.9466,SHAP,SVC
26,0.9618,SHAP,SVC
27,0.9466,SHAP,SVC
28,0.9389,SHAP,SVC
29,0.9542,SHAP,SVC
30,0.9847,SHAP,SVC
31,0.9847,SHAP,SVC
32,0.9847,SHAP,SVC
33,0.9847,SHAP,SVC
34,0.9847,SHAP,SVC
35,0.9847,SHAP,SVC
36,0.9847,SHAP,SVC
37,0.9924,SHAP,SVC
38,0.9924,SHAP,SVC
39,1,SHAP,SVC
40,1,SHAP,SVC
41,1,SHAP,SVC
42,1,SHAP,SVC
43,1,SHAP,SVC
44,1,SHAP,SVC
45,1,SHAP,SVC
46,1,SHAP,SVC
47,1,SHAP,SVC
48,1,SHAP,SVC
1,0.9542,LIME,SVC
2,0.9542,LIME,SVC
3,0.8855,LIME,SVC
4,0.8168,LIME,SVC
5,0.8244,LIME,SVC
6,0.8168,LIME,SVC
7,0.855,LIME,SVC
8,0.8779,LIME,SVC
9,0.855,LIME,SVC
10,0.8626,LIME,SVC
11,0.916,LIME,SVC
12,0.9389,LIME,SVC
13,0.9389,LIME,SVC
14,0.9389,LIME,SVC
15,0.9466,LIME,SVC
16,0.9695,LIME,SVC
17,0.9771,LIME,SVC
18,0.9847,LIME,SVC
19,1,LIME,SVC
20,0.9924,LIME,SVC
21,0.9924,LIME,SVC
22,0.9924,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
26,1,LIME,SVC
27,1,LIME,SVC
28,1,LIME,SVC
29,1,LIME,SVC
30,1,LIME,SVC
31,0.9924,LIME,SVC
32,0.9924,LIME,SVC
33,1,LIME,SVC
34,1,LIME,SVC
35,1,LIME,SVC
36,1,LIME,SVC
37,1,LIME,SVC
38,0.9924,LIME,SVC
39,0.9924,LIME,SVC
40,1,LIME,SVC
41,1,LIME,SVC
42,1,LIME,SVC
43,1,LIME,SVC
44,1,LIME,SVC
45,1,LIME,SVC
46,1,LIME,SVC
47,1,LIME,SVC
48,1,LIME,SVC
1,0.9466,Anchor,SVC
2,0.9466,Anchor,SVC
3,0.9237,Anchor,SVC
4,0.916,Anchor,SVC
5,0.9084,Anchor,SVC
6,0.916,Anchor,SVC
7,0.9084,Anchor,SVC
8,0.9008,Anchor,SVC
9,0.9008,Anchor,SVC
10,0.9008,Anchor,SVC
11,0.8931,Anchor,SVC
12,0.9008,Anchor,SVC
13,0.9008,Anchor,SVC
14,0.9008,Anchor,SVC
15,0.9008,Anchor,SVC
16,0.9008,Anchor,SVC
17,0.9008,Anchor,SVC
18,0.9008,Anchor,SVC
19,0.9008,Anchor,SVC
20,0.9008,Anchor,SVC
21,0.9008,Anchor,SVC
22,0.9008,Anchor,SVC
23,0.9008,Anchor,SVC
24,0.9008,Anchor,SVC
25,0.9008,Anchor,SVC
26,0.9008,Anchor,SVC
27,0.9008,Anchor,SVC
28,0.9008,Anchor,SVC
29,0.9008,Anchor,SVC
30,0.9008,Anchor,SVC
31,0.9008,Anchor,SVC
32,0.9008,Anchor,SVC
33,0.9008,Anchor,SVC
34,0.9008,Anchor,SVC
35,0.9008,Anchor,SVC
36,0.9008,Anchor,SVC
37,0.9008,Anchor,SVC
38,0.9008,Anchor,SVC
39,0.9008,Anchor,SVC
40,0.9008,Anchor,SVC
41,0.9008,Anchor,SVC
42,0.9008,Anchor,SVC
43,0.9008,Anchor,SVC
44,0.9008,Anchor,SVC
45,0.9008,Anchor,SVC
46,0.9008,Anchor,SVC
47,0.9008,Anchor,SVC
48,0.9008,Anchor,SVC
1,0.9466,LORE,SVC
2,0.9389,LORE,SVC
3,0.9542,LORE,SVC
4,0.9542,LORE,SVC
5,0.9542,LORE,SVC
6,0.9542,LORE,SVC
7,0.9542,LORE,SVC
8,0.9466,LORE,SVC
9,0.9389,LORE,SVC
10,0.9389,LORE,SVC
11,0.9466,LORE,SVC
12,0.9466,LORE,SVC
13,0.9466,LORE,SVC
14,0.9466,LORE,SVC
15,0.9313,LORE,SVC
16,0.9313,LORE,SVC
17,0.9313,LORE,SVC
18,0.9313,LORE,SVC
19,0.9313,LORE,SVC
20,0.9313,LORE,SVC
21,0.9313,LORE,SVC
22,0.9313,LORE,SVC
23,0.9313,LORE,SVC
24,0.9313,LORE,SVC
25,0.9313,LORE,SVC
26,0.9313,LORE,SVC
27,0.9313,LORE,SVC
28,0.9313,LORE,SVC
29,0.9313,LORE,SVC
30,0.9313,LORE,SVC
31,0.9313,LORE,SVC
32,0.9313,LORE,SVC
33,0.9313,LORE,SVC
34,0.9313,LORE,SVC
35,0.9313,LORE,SVC
36,0.9313,LORE,SVC
37,0.9313,LORE,SVC
38,0.9313,LORE,SVC
39,0.9313,LORE,SVC
40,0.9313,LORE,SVC
41,0.9313,LORE,SVC
42,0.9313,LORE,SVC
43,0.9313,LORE,SVC
44,0.9313,LORE,SVC
45,0.9313,LORE,SVC
46,0.9313,LORE,SVC
47,0.9313,LORE,SVC
48,0.9313,LORE,SVC
1,0.9084,SHAP,MLP
2,0.9313,SHAP,MLP
3,0.8779,SHAP,MLP
4,0.7863,SHAP,MLP
5,0.6947,SHAP,MLP
6,0.5802,SHAP,MLP
7,0.5573,SHAP,MLP
8,0.5267,SHAP,MLP
9,0.4809,SHAP,MLP
10,0.4656,SHAP,MLP
11,0.5191,SHAP,MLP
12,0.5038,SHAP,MLP
13,0.4885,SHAP,MLP
14,0.5496,SHAP,MLP
15,0.458,SHAP,MLP
16,0.5344,SHAP,MLP
17,0.5496,SHAP,MLP
18,0.5573,SHAP,MLP
19,0.5496,SHAP,MLP
20,0.5954,SHAP,MLP
21,0.5802,SHAP,MLP
22,0.6031,SHAP,MLP
23,0.6412,SHAP,MLP
24,0.6489,SHAP,MLP
25,0.6412,SHAP,MLP
26,0.6565,SHAP,MLP
27,0.6641,SHAP,MLP
28,0.6412,SHAP,MLP
29,0.6794,SHAP,MLP
30,0.6794,SHAP,MLP
31,0.687,SHAP,MLP
32,0.6794,SHAP,MLP
33,0.7099,SHAP,MLP
34,0.7328,SHAP,MLP
35,0.7328,SHAP,MLP
36,0.7176,SHAP,MLP
37,0.7328,SHAP,MLP
38,0.7252,SHAP,MLP
39,0.7252,SHAP,MLP
40,0.7176,SHAP,MLP
41,0.7099,SHAP,MLP
42,0.7252,SHAP,MLP
43,0.7481,SHAP,MLP
44,0.7634,SHAP,MLP
45,0.7863,SHAP,MLP
46,0.8092,SHAP,MLP
47,0.8321,SHAP,MLP
48,1,SHAP,MLP
1,1,LIME,MLP
2,0.916,LIME,MLP
3,0.8855,LIME,MLP
4,0.8931,LIME,MLP
5,0.8855,LIME,MLP
6,0.8931,LIME,MLP
7,0.8855,LIME,MLP
8,0.855,LIME,MLP
9,0.8397,LIME,MLP
10,0.8015,LIME,MLP
11,0.7481,LIME,MLP
12,0.7481,LIME,MLP
13,0.6641,LIME,MLP
14,0.6183,LIME,MLP
15,0.5878,LIME,MLP
16,0.626,LIME,MLP
17,0.6336,LIME,MLP
18,0.6183,LIME,MLP
19,0.6412,LIME,MLP
20,0.5802,LIME,MLP
21,0.5649,LIME,MLP
22,0.5954,LIME,MLP
23,0.6031,LIME,MLP
24,0.626,LIME,MLP
25,0.6412,LIME,MLP
26,0.7023,LIME,MLP
27,0.7405,LIME,MLP
28,0.7634,LIME,MLP
29,0.7939,LIME,MLP
30,0.7863,LIME,MLP
31,0.8092,LIME,MLP
32,0.8244,LIME,MLP
33,0.8626,LIME,MLP
34,0.8779,LIME,MLP
35,0.8702,LIME,MLP
36,0.8779,LIME,MLP
37,0.8626,LIME,MLP
38,0.8473,LIME,MLP
39,0.8473,LIME,MLP
40,0.8397,LIME,MLP
41,0.8473,LIME,MLP
42,0.8168,LIME,MLP
43,0.8168,LIME,MLP
44,0.771,LIME,MLP
45,0.7863,LIME,MLP
46,0.8168,LIME,MLP
47,0.9008,LIME,MLP
48,1,LIME,MLP
1,0.8931,Anchor,MLP
2,0.8855,Anchor,MLP
3,0.8779,Anchor,MLP
4,0.8626,Anchor,MLP
5,0.8473,Anchor,MLP
6,0.8321,Anchor,MLP
7,0.8321,Anchor,MLP
8,0.8168,Anchor,MLP
9,0.8168,Anchor,MLP
10,0.8168,Anchor,MLP
11,0.8168,Anchor,MLP
12,0.8168,Anchor,MLP
13,0.8168,Anchor,MLP
14,0.8168,Anchor,MLP
15,0.8168,Anchor,MLP
16,0.8168,Anchor,MLP
17,0.8168,Anchor,MLP
18,0.8168,Anchor,MLP
19,0.8168,Anchor,MLP
20,0.8168,Anchor,MLP
21,0.8168,Anchor,MLP
22,0.8168,Anchor,MLP
23,0.8168,Anchor,MLP
24,0.8244,Anchor,MLP
25,0.8244,Anchor,MLP
26,0.8244,Anchor,MLP
27,0.8244,Anchor,MLP
28,0.8244,Anchor,MLP
29,0.8244,Anchor,MLP
30,0.8244,Anchor,MLP
31,0.8244,Anchor,MLP
32,0.8244,Anchor,MLP
33,0.8244,Anchor,MLP
34,0.8244,Anchor,MLP
35,0.8244,Anchor,MLP
36,0.8244,Anchor,MLP
37,0.8244,Anchor,MLP
38,0.8244,Anchor,MLP
39,0.8244,Anchor,MLP
40,0.8244,Anchor,MLP
41,0.8244,Anchor,MLP
42,0.8244,Anchor,MLP
43,0.8244,Anchor,MLP
44,0.8244,Anchor,MLP
45,0.8244,Anchor,MLP
46,0.8244,Anchor,MLP
47,0.8244,Anchor,MLP
48,0.8244,Anchor,MLP
1,0.9008,LORE,MLP
2,0.8855,LORE,MLP
3,0.8855,LORE,MLP
4,0.9008,LORE,MLP
5,0.9084,LORE,MLP
6,0.9008,LORE,MLP
7,0.916,LORE,MLP
8,0.9008,LORE,MLP
9,0.8931,LORE,MLP
10,0.8931,LORE,MLP
11,0.8931,LORE,MLP
12,0.9008,LORE,MLP
13,0.8931,LORE,MLP
14,0.8855,LORE,MLP
15,0.8855,LORE,MLP
16,0.8855,LORE,MLP
17,0.8931,LORE,MLP
18,0.8855,LORE,MLP
19,0.8931,LORE,MLP
20,0.8931,LORE,MLP
21,0.8855,LORE,MLP
22,0.8855,LORE,MLP
23,0.8855,LORE,MLP
24,0.8855,LORE,MLP
25,0.8855,LORE,MLP
26,0.8855,LORE,MLP
27,0.8855,LORE,MLP
28,0.8855,LORE,MLP
29,0.8855,LORE,MLP
30,0.8855,LORE,MLP
31,0.8855,LORE,MLP
32,0.8855,LORE,MLP
33,0.8855,LORE,MLP
34,0.8855,LORE,MLP
35,0.8855,LORE,MLP
36,0.8855,LORE,MLP
37,0.8855,LORE,MLP
38,0.8855,LORE,MLP
39,0.8855,LORE,MLP
40,0.8855,LORE,MLP
41,0.8855,LORE,MLP
42,0.8855,LORE,MLP
43,0.8855,LORE,MLP
44,0.8855,LORE,MLP
45,0.8855,LORE,MLP
46,0.8855,LORE,MLP
47,0.8855,LORE,MLP
48,0.8855,LORE,MLP
