Number of removed features,Robustness score,Interpreter,Model
3,0.9474,Anchor,SVC
4,0.9474,Anchor,SVC
5,0.9474,Anchor,SVC
6,0.9474,Anchor,SVC
7,0.9474,Anchor,SVC
8,0.9474,Anchor,SVC
9,0.9474,Anchor,SVC
10,0.9474,Anchor,SVC
11,0.9474,Anchor,SVC
12,0.9474,Anchor,SVC
13,0.9474,Anchor,SVC
14,0.9474,Anchor,SVC
15,0.9474,Anchor,SVC
16,0.9474,Anchor,SVC
17,0.9474,Anchor,SVC
18,0.9474,Anchor,SVC
19,0.9474,Anchor,SVC
20,0.9474,Anchor,SVC
21,0.9474,Anchor,SVC
22,0.9474,Anchor,SVC
23,0.9474,Anchor,SVC
24,0.9474,Anchor,SVC
25,0.9474,Anchor,SVC
26,0.9474,Anchor,SVC
27,0.9474,Anchor,SVC
28,0.9474,Anchor,SVC
29,0.9474,Anchor,SVC
30,0.9474,Anchor,SVC
1,0.7602,LORE,SVC
2,0.9474,LORE,SVC
3,0.9825,LORE,SVC
4,0.9883,LORE,SVC
5,0.9883,LORE,SVC
6,0.9883,LORE,SVC
7,0.9883,LORE,SVC
8,0.9883,LORE,SVC
9,0.9883,LORE,SVC
10,0.9883,LORE,SVC
11,0.9883,LORE,SVC
12,0.9883,LORE,SVC
13,0.9883,LORE,SVC
14,0.9883,LORE,SVC
15,0.9883,LORE,SVC
16,0.9883,LORE,SVC
17,0.9883,LORE,SVC
18,0.9883,LORE,SVC
19,0.9883,LORE,SVC
20,0.9883,LORE,SVC
21,0.9883,LORE,SVC
22,0.9883,LORE,SVC
23,0.9883,LORE,SVC
24,0.9883,LORE,SVC
25,0.9883,LORE,SVC
26,0.9883,LORE,SVC
27,0.9883,LORE,SVC
28,0.9883,LORE,SVC
29,0.9883,LORE,SVC
30,0.9883,LORE,SVC
1,0.924,SHAP,MLP
2,0.9357,SHAP,MLP
3,0.9415,SHAP,MLP
4,0.9298,SHAP,MLP
5,0.9181,SHAP,MLP
6,0.9181,SHAP,MLP
7,0.883,SHAP,MLP
8,0.8889,SHAP,MLP
9,0.848,SHAP,MLP
10,0.8187,SHAP,MLP
11,0.8304,SHAP,MLP
12,0.7719,SHAP,MLP
13,0.7544,SHAP,MLP
14,0.731,SHAP,MLP
15,0.7251,SHAP,MLP
16,0.731,SHAP,MLP
17,0.7836,SHAP,MLP
18,0.7427,SHAP,MLP
19,0.8012,SHAP,MLP
20,0.8421,SHAP,MLP
21,0.848,SHAP,MLP
22,0.8713,SHAP,MLP
23,0.8538,SHAP,MLP
24,0.8363,SHAP,MLP
25,0.8655,SHAP,MLP
26,0.8538,SHAP,MLP
27,0.8655,SHAP,MLP
28,0.8947,SHAP,MLP
29,0.9474,SHAP,MLP
30,1,SHAP,MLP
1,0.9006,LIME,MLP
2,0.7895,LIME,MLP
3,0.7836,LIME,MLP
4,0.7368,LIME,MLP
5,0.7661,LIME,MLP
6,0.7836,LIME,MLP
7,0.8012,LIME,MLP
8,0.8012,LIME,MLP
9,0.8304,LIME,MLP
10,0.8421,LIME,MLP
11,0.8187,LIME,MLP
12,0.8187,LIME,MLP
13,0.807,LIME,MLP
14,0.7895,LIME,MLP
15,0.7895,LIME,MLP
16,0.8129,LIME,MLP
17,0.8363,LIME,MLP
18,0.8304,LIME,MLP
19,0.8304,LIME,MLP
20,0.8363,LIME,MLP
21,0.848,LIME,MLP
22,0.8713,LIME,MLP
23,0.8947,LIME,MLP
24,0.9006,LIME,MLP
25,0.9181,LIME,MLP
26,0.9181,LIME,MLP
27,0.9298,LIME,MLP
28,0.9474,LIME,MLP
29,0.9591,LIME,MLP
30,1,LIME,MLP
1,0.8772,Anchor,MLP
2,0.9064,Anchor,MLP
3,0.9006,Anchor,MLP
4,0.8947,Anchor,MLP
5,0.8947,Anchor,MLP
6,0.8947,Anchor,MLP
7,0.8947,Anchor,MLP
8,0.8947,Anchor,MLP
9,0.8947,Anchor,MLP
10,0.8947,Anchor,MLP
11,0.8947,Anchor,MLP
12,0.8947,Anchor,MLP
13,0.8947,Anchor,MLP
14,0.8947,Anchor,MLP
15,0.8947,Anchor,MLP
16,0.8947,Anchor,MLP
17,0.8947,Anchor,MLP
18,0.8947,Anchor,MLP
19,0.8947,Anchor,MLP
20,0.8947,Anchor,MLP
21,0.8947,Anchor,MLP
22,0.8947,Anchor,MLP
23,0.8947,Anchor,MLP
24,0.8947,Anchor,MLP
25,0.8947,Anchor,MLP
26,0.8947,Anchor,MLP
27,0.8947,Anchor,MLP
28,0.8947,Anchor,MLP
29,0.8947,Anchor,MLP
30,0.8947,Anchor,MLP
1,0.7427,LORE,MLP
2,0.6433,LORE,MLP
3,0.6257,LORE,MLP
4,0.6257,LORE,MLP
5,0.6199,LORE,MLP
6,0.6023,LORE,MLP
7,0.6199,LORE,MLP
8,0.6374,LORE,MLP
9,0.6374,LORE,MLP
10,0.6316,LORE,MLP
11,0.6316,LORE,MLP
12,0.6316,LORE,MLP
13,0.6316,LORE,MLP
14,0.6316,LORE,MLP
15,0.6316,LORE,MLP
16,0.6316,LORE,MLP
17,0.6316,LORE,MLP
18,0.6316,LORE,MLP
19,0.6316,LORE,MLP
20,0.6316,LORE,MLP
21,0.6316,LORE,MLP
22,0.6316,LORE,MLP
23,0.6316,LORE,MLP
24,0.6316,LORE,MLP
25,0.6316,LORE,MLP
26,0.6316,LORE,MLP
27,0.6316,LORE,MLP
28,0.6316,LORE,MLP
29,0.6316,LORE,MLP
30,0.6316,LORE,MLP
